let out a cry ,大喊,*
sigh deeply ,深深地叹了口气,
"moan in pain, moan with pain ",痛苦地呻吟,*
scream with excitement ,兴奋地喊叫,
ask with curiosity ,好奇地问,
(one's) mouth drops open ,某人张大嘴,*
say without the slightest hesitation ,坚定地说,
say in tears ,哭着说,
a slip of the tongue,口误,*
exclaim angrily,气愤地喊道,
complain of a headache,诉说头痛,
whisper in (one's) ear,在某人耳边低语,
talk at the top of (one's) voice,大声说话,
say without the slightest hesitation,坚定地说,
murmur in (one's) ear ,在某人耳边悄声说话,*
in a pleasant tone ,以和蔼可亲的语气,
in a firm tone,以坚定的语气,
in a rude tone,以粗鲁的语气,
in a sad tone,以悲伤的语气,
speak in a low voice,低声地说,
speak in a high voice,高声地说,
speak in a sweet voice,甜甜地说,
speak in a loud voice,大声地说,
speak in a soft voice,轻声地说,
speak in a weak voice,弱弱地说,
