"feel angry, get angry",生气,D
"feel a burst of anger, feel a burst of rage ",勃然大怒,D
storm out of,怒气冲冲地跑出……,*D
storm out into ,怒气冲冲地闯进……,*D
lose (one's) temper ,发牌气,D
"be seized by anger, be seized by annoyance ",感到生气,*D
boil with rage ,怒火中烧,*D
be cross with (sb.),生某人的气,D
blow (one's) top ,暴跳如雷,D
explode with anger ,大发雷霆,D
eyes burning with anger ,满眼怒火,D
face twists in anger,脸因为生气而扭曲,D
flush with anger ,气得脸通红,D
fly into a rage ,勃然大怒,D
"hit the ceiling, hit the roof ",勃然大怒；怒气冲天,D
be filled with anger ,满腔怒火,D
mask (one's) anger with a smile ,用微笑来掩饰某人的愤怒,*D
be shaking with rage,气得发抖,D
be trembling with rage,气得颤抖,D
be speechless with rage,气得说不出话来,*D
