be delighted at ...,对……感到高兴,D
to (one's) joy,令某人高兴的是,*D
be wild with joy ,欣喜若狂,D
"jump with joy, leap for with joy ",高兴得跳起来,D
speak in a cheerful voice ,高兴地说,D
over the moon ,欣喜若狂,*D
"be overcome with happiness,  be overcome with delight, be overcome with joy  ",高兴无比,D
feel a surge of happiness,感到一阵幸福,D
"feel a surge of delight, feel a surge of joy",感到一阵喜悦,D
go wild with joy at the thought of ...,一想到……就欣喜若狂,*D
"dance for joy, dance with joy ",高兴得跳起舞来,D
light up,露出喜色,D
beam with pleasure ,喜不自胜,*D
a yell of delight ,欢呼,D
in a good mood,心情很好,D
brighten (sb.'s) heart ,使某人心情愉快,D
take delight in ...,以……为乐,D
in high spirits,情绪高涨,*D
be full of joy ,充满欢乐,D
a smiling face ,笑脸,D
"force a smile, manage a smile",强颜欢笑,*D
"a big smile, a broad smile, a wide smile, a bright smile",灿烂的微笑,D
smile and wink,笑着眨眼,D
flash a smile,露出微笑,*D
laugh at ,嘲笑,D
"howl with laughter, scream with laughter",放声大笑,D
laugh from ear to ear ,笑得合不拢嘴,*D
with a laugh ,笑了一声,D
burst into laughter ,突然大笑,D
explode with laughter ,哄然大笑,*D
