be moved to tears ,感动到流泪,*D
reap the rewards ,收获成果,*D
be happy with ...,对……感到满意,D
touch (one's) heart ,打动某人的心,D
enjoy a sense of accomplishment ,享受成就感,D
pull at (one's) heartstrings ,触动某人的心弦,*D
be gratified by ...,对……感到高兴,D
"be touched deeply, be moved deeply ",深受感动,D
feel a surge of emotion ,感到情感涌动,D
feel content ,感到满足,*D
feel at ease ,感到轻松,D
be profoundly affected ,深受影响,*D
give (sb.) peace of mind,让某人心安,D
feel a deep connection ,感到深深的联系,D
take pleasure in ...,从……中获得乐趣,D
have a soft spot for ...,对……心存好感,D
"be satisfied with ..., be pleased with ...",感到满意,D
experience a sense of fulfillment ,体验到满足感,*D
a feeling of warmth wells up in (one's) heart ,一股暖流涌上心头,D
