"in appreciation of, in appreciation for",感激；感谢,D
find peace of mind,找到心灵的平静,D
be indebted to (sb.),对某人心存感激,*D
settle back with ease,安下心来,*D
let out a breath of relief,松了一口气,D
feel a weight lifted,感到如释重负,*D
feel deeply grateful,深表感激,D
feel relieved,感到宽慰,D
let out a sigh of relief,叹一口气,*D
sigh with relief,如释重负地松口气,D
offer heartfelt thanks to ...,对……表达衷心的感谢,D
a surge of relief goes through ,感到一阵宽慰,*D
bask in gratitude for ...,沉浸在对……的感激之中,D
experience a wave of appreciation ,体验一阵感激之情,D
take a load off (one's) mind ,使某人如释重负,*D
take a moment to be thankful ,花点时间去感恩,D
